Ticker,CIK,Title,CEO,Median,Ratio
MSFT,789019,MICROSOFT CORP,25824106.0,167689,154:1
BRK-B,1067983,BERKSHIRE HATHAWAY INC,187000.0,100000,1.87:1
UNH,731766,UNITEDHEALTH GROUP INC,17396644.0,58378,298:1
JNJ,200406,JOHNSON & JOHNSON,29832000.0,66000,452:1
XOM,34088,EXXON MOBIL CORP,17448696.0,161562,108:1
NVDA,1045810,NVIDIA CORP,12992320.0,147640,88:1
WMT,104169,Walmart Inc.,22782276.0,19177,1188:1
JPM,19617,JPMORGAN CHASE & CO,28318836.0,77799,364:1
PG,80424,PROCTER & GAMBLE Co,17338244.0,60412,287:1
LLY,59478,ELI LILLY & Co,15812354.0,134003,118:1
MA,1141391,Mastercard Inc,18677345.0,120499,155:1
HD,354950,"HOME DEPOT, INC.",11644440.0,21095,552:1
CVX,93410,CHEVRON CORP,error,,180:1
PFE,78003,PFIZER INC,27921478.0,89206,313:1
ABBV,1551152,AbbVie Inc.,22657968.0,157347,144:1
MRK,310158,"Merck & Co., Inc.",17667195.0,82173,215:1
KO,21344,COCA COLA CO,10881760.0,47312,230:1
BAC,70858,BANK OF AMERICA CORP /DE/,21778750.0,87115,250:1
PEP,77476,PEPSICO INC,31070650.0,47801,650:1
ORCL,1341439,ORACLE CORP,108313835.0,89887,1205:1
TMO,97745,THERMO FISHER SCIENTIFIC INC.,22269168.0,68732,324:1
COST,909832,COSTCO WHOLESALE CORP /NEW,7412710.0,38810,191:1
CSCO,858877,"CISCO SYSTEMS, INC.",21242240.0,132764,160:1
MCD,63908,MCDONALDS CORP,21759717.0,7017,3101:1
DHR,313616,DANAHER CORP /DE/,14770808.0,67756,218:1
ABT,1800,ABBOTT LABORATORIES,3161847.0,12597,251:1
TMUS,1283699,"T-Mobile US, Inc.",23633336.0,55739,424:1
NKE,320187,"NIKE, Inc.",9457945.0,24955,379:1
ACN,1467373,Accenture plc,22314330.0,40206,555:1
NEE,753308,NEXTERA ENERGY INC,18810025.0,121355,155:1
WFC,72971,WELLS FARGO & COMPANY/MN,16683096.0,60446,276:1
BMY,14272,BRISTOL MYERS SQUIBB CO,18637320.0,110280,169:1
CMCSA,1166691,COMCAST CORP,32520748.0,71006,458:1
ADBE,796343,ADOBE INC.,error,,
TXN,97476,TEXAS INSTRUMENTS INC,16579710.0,78951,210:1
PM,1413329,Philip Morris International Inc.,6230250.0,19170,325:1
MS,895421,MORGAN STANLEY,24549696.0,127863,192:1
VZ,732712,VERIZON COMMUNICATIONS INC,17980466.0,126623,142:1
UPS,1090727,UNITED PARCEL SERVICE INC,14643382.0,53443,274:1
TSLA,1318605,"Tesla, Inc.",49882.560000000005,54816,0.91:1
AMGN,318154,AMGEN INC,16882110.0,132930,127:1
SCHW,316709,SCHWAB CHARLES CORP,14330192.0,98152,146:1
RTX,101829,RAYTHEON TECHNOLOGIES CORP,17021755.0,72433,235:1
COP,1163165,CONOCOPHILLIPS,21934134.0,158943,138:1
HON,773840,HONEYWELL INTERNATIONAL INC,16748568.0,50296,333:1
LOW,60667,LOWES COMPANIES INC,11211445.0,23905,469:1
UNP,100885,UNION PACIFIC CORP,13777004.0,82994,166:1
LMT,936468,LOCKHEED MARTIN CORP,22920966.0,123231,186:1
DE,315189,DEERE & CO,error,,
T,732717,AT&T INC.,28707942.0,78437,366:1
NFLX,1065280,NETFLIX INC,24379432.0,183304,133:1
CRM,1108524,"Salesforce, Inc.",4658520.0,155284,30:1
CVS,64803,CVS HEALTH Corp,12279040.0,38372,320:1
CAT,18230,CATERPILLAR INC,14009010.0,65770,213:1
IBM,51143,INTERNATIONAL BUSINESS MACHINES CORP,18581431.0,54491,341:1
GS,886982,GOLDMAN SACHS GROUP INC,22031895.0,135165,163:1
AXP,4962,AMERICAN EXPRESS CO,18597471.0,56873,327:1
INTC,50863,INTEL CORP,21543100.0,102100,211:1
INTU,896878,INTUIT INC,21047312.0,147184,143:1
GILD,882095,"GILEAD SCIENCES, INC.",15510658.0,165007,94:1
BA,12927,BOEING CO,18459864.0,111204,166:1
BLK,1364742,BlackRock Inc.,27687465.0,141987,195:1
MDT,1613103,Medtronic plc,17612627.0,73693,239:1
ADP,8670,AUTOMATIC DATA PROCESSING INC,error,,211:1
AMT,1053507,AMERICAN TOWER CORP /MA/,13099840.0,50384,260:1
ISRG,1035267,INTUITIVE SURGICAL INC,5055461.100000001,157491,32.1:1
TJX,109198,TJX COMPANIES INC /DE/,16875743.0,11243,1501:1
MDLZ,1103982,"Mondelez International, Inc.",17285879.0,42893,403:1
CB,896159,Chubb Ltd,19114486.599999998,63419,301.4:1
SYK,310764,STRYKER CORP,13982309.0,66901,209:1
C,831001,CITIGROUP INC,17803881.0,48249,369:1
EL,1001250,ESTEE LAUDER COMPANIES INC,48748050.0,28845,1690:1
MO,764180,"ALTRIA GROUP, INC.",15704982.0,137763,114:1
GE,40545,GENERAL ELECTRIC CO,8982127.0,57211,157:1
MMC,62709,"MARSH & MCLENNAN COMPANIES, INC.",error,61318,
NOC,1133421,NORTHROP GRUMMAN CORP /DE/,18846320.0,101872,185:1
PLD,1045609,"Prologis, Inc.",19362660.0,94915,204:1
SPGI,64040,S&P Global Inc.,10725876.0,24714,434:1
PYPL,1633917,"PayPal Holdings, Inc.",19242472.0,70228,274:1
BKNG,1075531,Booking Holdings Inc.,27766645.0,46355,599:1
AMD,2488,ADVANCED MICRO DEVICES INC,10878989.0,89909,121:1
NOW,1373715,"ServiceNow, Inc.",45012250.0,180049,250:1
REGN,872589,"REGENERON PHARMACEUTICALS, INC.",26534870.0,123418,215:1
