Ticker,CIK,Title,CEO,Median,Ratio,Median Source,Ratio Source
MSFT,789019,MICROSOFT CORP,2515335.0,167689,154,oxy summary This summary highlights information contained elsewhere in this Proxy Statement. This summary does not contain all information you shouldconsider. Please read the entire Proxy Statement carefully before voting.  &nbsp; &nbsp;AnnualShareholdersMeeting&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &nbsp; ,te about forward-looking statements&nbsp;&nbsp;&nbsp;68&nbsp; Downtown Bellevue driving directions and parking&nbsp;&nbsp;&nbsp;69&nbsp; &nbsp; 2018 PROXY STATEMENT&nbsp;&nbsp;iii Table of Contents Proxy summary This summary highlights information contained elsewhere in this Proxy Statement. This summary does not contain all information you shouldconsider. Please read the entire Proxy Statement carefully before voting.  &nbsp; &nbsp;AnnualShareholdersMeeting&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &nbsp; 
BRK-B,1067983,BERKSHIRE HATHAWAY INC,96318.0,53510,1.87,,
UNH,731766,UNITEDHEALTH GROUP INC,1692962.0,58378,298,"a diversified health care company whose mission is to help people live healthier lives and to help make the health system work betterfor everyone. We again achieved strong business results in 2017, including:&#149; Revenues increased 9% to $201.2&nbsp;billion from $184.8&nbsp;billion in 2016; &#149;","e and support, broad health care experience and expertise in growth, innovation,technology, operations and global markets to be CEO and lead the Company into the future.    Business Results    We are a diversified health care company whose mission is to help people live healthier lives and to help make the health system work betterfor everyone. We again achieved strong business results in 2017, including:&#149; Revenues increased 9% to $201.2&nbsp;billion from $184.8&nbsp;billion in 2016; &#149;"
JNJ,200406,JOHNSON & JOHNSON,2970000.0,66000,452,,
XOM,34088,EXXON MOBIL CORP,1615620.0,161562,108,"in your Computershare Investment Plan account. If you ownshares in the ExxonMobil Savings Plan for employees and retirees, your proxy card also covers those shares.  If you give us your signed proxy but do not specify howto vote, we will vote your shares as follows:  &nbsp;&#149;&nbsp;For the electi","a Notice and would like tovote in writing, please follow theinstructions in the Notice to obtainpaper proxy materials. &nbsp; Your proxy card covers all shares registered in your name and shares held in your Computershare Investment Plan account. If you ownshares in the ExxonMobil Savings Plan for employees and retirees, your proxy card also covers those shares.  If you give us your signed proxy but do not specify howto vote, we will vote your shares as follows:  &nbsp;&#149;&nbsp;For the electi"
NVDA,1045810,NVIDIA CORP,1181120.0,147640,88," for the maximum number of SY PSUs and MY PSUs becoming eligible to vestSY PSUsPSUs with a single-year performance metric, vesting over four yearsThresholdMinimum performance goal necessary to earn an award under the Variable Cash Plan and for SY PSUs and MY PSUs to become eligible to vestTSRTotal s","dexSECU.S. Securities and Exchange CommissionSecurities ActSecurities Act of 1933, as amendedStretch Operating PlanPerformance goal necessary to earn the maximum award under the Variable Cash Plan and for the maximum number of SY PSUs and MY PSUs becoming eligible to vestSY PSUsPSUs with a single-year performance metric, vesting over four yearsThresholdMinimum performance goal necessary to earn an award under the Variable Cash Plan and for SY PSUs and MY PSUs to become eligible to vestTSRTotal s"
WMT,104169,Walmart Inc.,2262886.0,19177,1188,"      Board Nominee Overview&nbsp;Our Board nominees bring a variety of backgrounds, qualifications,skills and experiences that contribute to a well-rounded Board uniquely positioned to effectively guide our strategy and overseeour operations in a rapidly evolving retail industry.&nbsp;&nbsp;&nbsp;P"," vote onany other business properly brought before the meeting.&nbsp;6&nbsp;&nbsp;&nbsp;&nbsp;Walmart&nbsp;&nbsp;|&nbsp;&nbsp;2018 Proxy Statement&nbsp;&nbsp;&bull;&nbsp;&nbsp;ProxySummary    &nbsp;        Board Nominee Overview&nbsp;Our Board nominees bring a variety of backgrounds, qualifications,skills and experiences that contribute to a well-rounded Board uniquely positioned to effectively guide our strategy and overseeour operations in a rapidly evolving retail industry.&nbsp;&nbsp;&nbsp;P"
JPM,19617,JPMORGAN CHASE & CO,2800764.0,77799,364,ntroduced at the meeting)The Board of Directors recommends you vote&#160;AGAINST&#160;each of the following shareholder proposals&#160;(for more information see page referenced):&#160;&#160;&#160;6.   Independent Board chairman97&#160;&#160;&#160;7.   Vesting for government service100&#160;&#160;&#1,"lan effective May 15, 201882&#160;&#160;&#160;5.  Ratification of independent registered public accounting firm92&#160;&#160;&#160;&#160;&#160;&#160;&#251;SHAREHOLDER PROPOSALS (if they are properly introduced at the meeting)The Board of Directors recommends you vote&#160;AGAINST&#160;each of the following shareholder proposals&#160;(for more information see page referenced):&#160;&#160;&#160;6.   Independent Board chairman97&#160;&#160;&#160;7.   Vesting for government service100&#160;&#160;&#1"
PG,80424,PROCTER & GAMBLE Co,1691536.0,60412,287,"s &nbsp;&nbsp; G&amp;PRI&amp;T&nbsp;&nbsp; David S. Taylor&nbsp;&nbsp; Chairman of the Board, President and Chief Executive Officer of the Company&nbsp;&nbsp;60 &nbsp;&nbsp; 3 years &nbsp;&nbsp;None&#135;&nbsp;&nbsp; Margaret C. Whitman *&nbsp;&nbsp;&nbsp; Chief Executive Officer of NewTV; Former Pr","5 years &nbsp;&nbsp; C&amp;LDG&amp;PR &nbsp;&nbsp;&nbsp; Nelson Peltz *&nbsp;&nbsp;&nbsp; Chief Executive Officer and Founding Partner of Trian Fund Management, L.P.&nbsp;&nbsp;76 &nbsp;&nbsp; 6 months &nbsp;&nbsp; G&amp;PRI&amp;T&nbsp;&nbsp; David S. Taylor&nbsp;&nbsp; Chairman of the Board, President and Chief Executive Officer of the Company&nbsp;&nbsp;60 &nbsp;&nbsp; 3 years &nbsp;&nbsp;None&#135;&nbsp;&nbsp; Margaret C. Whitman *&nbsp;&nbsp;&nbsp; Chief Executive Officer of NewTV; Former Pr"
LLY,59478,ELI LILLY & Co,1474033.0,134003,118,,
