Ticker,CIK,Title,CEO,Median,Ratio,Median Source,Ratio Source
MSFT,789019,MICROSOFT CORP,2515335.0,167689,154," annual total compensation for the median employee of the Company (other than our CEO) was $167,689 "," of our CEO was $25,843,263. Based on this information, for fiscal year 2018 the ratio of theannual total compensation of our CEO to the annual total compensation of the median employee was 154 to 1. "
BRK-B,1067983,BERKSHIRE HATHAWAY INC,96318.0,53510,1.87,"nnual total compensation ($100,000) to theannual total compensation of the median employee ($53,510)"," the information obtained as described above, the ratio of Mr.&nbsp;Buffett&#146;s annual total compensation ($100,000) to theannual total compensation of the median employee ($53,510) was 1.87 to 1. "
UNH,731766,UNITEDHEALTH GROUP INC,1692962.0,58378,298,"n &#8203; employer-paidhealth insurance contributions. Our median employee compensation was $58,378 ","e Officer's compensation was $17,404,604. Accordingly our CEO to median employee payratio is 298:1. "
JNJ,200406,JOHNSON & JOHNSON,2970000.0,66000,452,"he annual total compensation of our median-paid employee on a worldwide basis for 2017 was $66,000. ","nsation of our median-paid employee on a worldwide basis for 2017 was $66,000. The annual total compensation of our Chief Executive Officer for 2017 was $29,802,564. The ratio of the two amounts for 2017 is 452 to 1. For a complete understanding of these amounts, please read the descriptions below.W"
XOM,34088,EXXON MOBIL CORP,1615620.0,161562,108," annual total compensation of the CEO of the Corporation for 2017 was $17,495,119. The median of the annual total compensation of all employees of the Corporationexcept the CEO for 2017 was $161,562. ","oyees of the Corporationexcept the CEO for 2017 was $161,562. The ratio of the annual total compensation of the CEO for 2017 to the median of the annual total compensation of all employees was 108:1. "
NVDA,1045810,NVIDIA CORP,1181120.0,147640,88,"ing the methodology described above, our median employee compensation for Fiscal 2018 was $147,640. ","edian employee compensation for Fiscal 2018 was $147,640. Our CEO&#8217;s compensation for Fiscal 2018 was $12,993,532. Therefore, our Fiscal 2018 CEO to median employee&#160;pay ratio&#160;was 88:1.T"
WMT,104169,Walmart Inc.,2262886.0,19177,1188," CEO was $22,791,276, the fiscal 2018 annual total compensation of our median associatewas $19,177, "," total compensation of our median associatewas $19,177, and the ratio of these amounts was 1,188:1.&"
JPM,19617,JPMORGAN CHASE & CO,2800764.0,77799,364,"employee benefits&#9642;The annual total compensation of our estimated median employee was $77,799, ","its&#9642;The annual total compensation of our estimated median employee was $77,799, including Firm-paid employee benefits2&#32;and change in pension value&#9642;This represents a ratio of 364 to 1.I"
PG,80424,PROCTER & GAMBLE Co,1691536.0,60412,287," of Regulation S-K and based upon our reasonable judgment and assumptions. For FY 2017-18, the median of the annual total compensation of all employees of the company(other than our CEO) was $60,412, ","pensation of our CEO was $17,354,256. Based on this information, the ratio of the annual total compensation of Mr.&nbsp;Taylor to the median of the annual total compensation of employees was287 to 1. "
LLY,59478,ELI LILLY & Co,1474033.0,134003,118,"al annual compensation in accordance with the requirements of the Summary Compensation Table.Our median employee compensation as calculated using Summary Compensation Table requirements was $134,003.&"," Compensation Table was $15,845,991.&#160;Therefore, our CEO to median employee pay ratio is 118:1.&"
MA,1141391,Mastercard Inc,1807485.0,120499,155,"employees, except our CEO.For 2017, the annual total compensation of our identified median employee (that is, the median employee across all employees of the Company other than the CEO) was $120,499, ","rted in the Summary Compensation Table was $18,684,468.&#160; Accordingly, for 2017, the ratio of the compensation of our CEO to the compensation for our median employee was estimated to be 155 to 1.T"
HD,354950,"HOME DEPOT, INC.",1160225.0,21095,552,";&nbsp;The annual total compensation of our median-paid associate, other than our CEO, was $21,095. ","41,012.  &nbsp;&#149;&nbsp;Based on this information, for Fiscal 2017 the ratio of the annual total compensation of our CEO to the annual total compensation of our median-paid associate was 552 to 1. "
CVX,93410,CHEVRON CORP,,,180,,le of Contents &nbsp; &nbsp; &nbsp;CEO Pay Ratio &nbsp; The ratio of the annual total compensation of our CEO (Mr. Watson) to the annual total compensation of our mediancompensated employee was 180:1 
PFE,78003,PFIZER INC,2765386.0,89206,313,"the annual total compensationof the median-paid employee whose 2017 total compensation was $89,206. ","to disclose the ratio of the CEO&rsquo;s annual total compensation to that of the median-paid employee.The 2017 annual total compensation for Mr. Read was $27,913,775, which is approximately 313 times"
ABBV,1551152,AbbVie Inc.,2202858.0,157347,144,"7,the annual total compensation of our median employee (other than Mr.&nbsp;Gonzalez) was $157,347. ","lated in a manner consistent with Regulation&nbsp;S-K Item&nbsp;402(u). The ratio of Mr.&nbsp;Gonzalez's annualtotal compensation for 2017, as reported in the Summary Compensation Table in this proxy statement, to the median employee annual total compensation determined on the same basis was 144:1. "
MRK,310158,"Merck & Co., Inc.",1725633.0,82173,215,"nbsp;    18    TOTAL&nbsp;    &nbsp;&nbsp;    &nbsp;&nbsp;    3,661&nbsp;THE RATIO&nbsp;The median annual total compensation ascalculated under the Summary Compensation Table requirements was $82,173 ",estimation of a ratio of the CEO&rsquo;s compensation to our median compensation amount of 215 to1.&
KO,21344,COCA COLA CO,1088176.0,47312,230,"quo;Pay Ratio Disclosure&rdquo;).For 2017, the median annual total compensation of all employees of the Company and its consolidated subsidiaries (other than the Chief Executive Officer) was $47,312. ","74,694.  Based on this information, for 2017, the ratio of the compensation of the Chief Executive Officer to the median annual total compensation of all other employees was estimated to be 230 to 1.T"
BAC,70858,BANK OF AMERICA CORP /DE/,2177875.0,87115,250," &nbsp;&nbsp;&nbsp;Median Employee Annual Total Compensation&nbsp;&nbsp;&nbsp; &nbsp;&nbsp; $87,115&","mployee Annual Total Compensation&nbsp;&nbsp;&nbsp; &nbsp;&nbsp; $87,115&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp;CEO to Median Employee Pay Ratio &nbsp;&nbsp;&nbsp;&nbsp; &nbsp;&nbsp; &nbsp; 250:1&"
PEP,77476,PEPSICO INC,3107065.0,47801,650,"applicable SEC rules.   &#9679;   The median employee compensation, excluding our CEO, was $47,801. ","CEO&#8217;s compensation was $31,082,648.Based on this information, the ratio of Ms. Nooyi&#8217;s annual total compensation to the median employee compensation for 2017 was estimated to be 650 to 1.C"
ORCL,1341439,ORACLE CORP,10786440.0,89887,1205,"nd Vietnam (75). The fiscal 2018 total compensation of our median compensated employee was $89,887. ","018 totalcompensation, the ratio of CEO to median employee annual total compensation is 1,205 to 1. "
TMO,97745,THERMO FISHER SCIENTIFIC INC.,2199424.0,68732,324,"The annual total compensation of our median employee (other than the CEO) for 2017&#32;was $68,732. ","&#32;was $22,275,176. Based on the foregoing, our estimate of the ratio of the annual total compensation of our CEO to the median of the annual total compensation of all other employees was 324 to 1, "
COST,909832,COSTCO WHOLESALE CORP /NEW,737390.0,38810,191," date period. The median employee in the considered population had a total compensation of $38,810.&","e CEO&#8217;s total compensation as shown in the Summary Compensation Table was $7,408,513. Based upon the estimates, assumptions, and methodology described above, the pay ratio calculation is 191:1. "
CSCO,858877,"CISCO SYSTEMS, INC.",2124224.0,132764,160,"s. As determined in accordance with SEC rules, the fiscal 2018 annual total compensation was $21,284,339 for our CEO as reportedin the Summary Compensation Table and $132,764 for our median employee, ","s, the fiscal 2018 annual total compensation was $21,284,339 for our CEO as reportedin the Summary Compensation Table and $132,764 for our median employee, and the ratio of these amounts is 160 to 1. "
