Ticker,CIK,Title,CEO,Median,Ratio,Median Source,Ratio Source
AAPL,320193,Apple Inc.,1151920.0,57596,201," was $11,555,466, the 2019 annual total compensation of our median compensatedemployee was $57,596, ","#150; 2019 The 2019 annual total compensation of our CEO was $11,555,466, the 2019 annual total compensation of our median compensatedemployee was $57,596, and the ratio of these amounts is 201 to 1. "
MSFT,789019,MICROSOFT CORP,4303550.0,172142,257,"e annual total compensation for the median employee of the Company(other than our CEO) was $172,142 "," of our CEO was $44,321,788. Based on this information, for fiscal year 2020 the ratio of the annual total compensation of our CEO to the annual total compensation of the medianemployee was 257 to 1. "
BRK-B,1067983,BERKSHIRE HATHAWAY INC,374718.0,65740,5.70,"tal compensation($374,773) to the annual total compensation of the median employee in 2019 ($65,740)","escribed in the preceding paragraphs, the ratio of Mr.&nbsp;Buffett&#146;s annual total compensation($374,773) to the annual total compensation of the median employee in 2019 ($65,740) was 5.70 to 1. "
UNH,731766,UNITEDHEALTH GROUP INC,1846948.0,54322,348," value of employer-paid health insurance contributions. Our median employeecompensation was $54,322 ","our CEO's compensation was $18,907,522. Accordingly, our CEO to median employee pay ratio is 348:1. "
JNJ,200406,JOHNSON & JOHNSON,,75000,,"l Total CompensationThe annual total compensation of our median-paid employee for 2018 was $75,000. ",
XOM,34088,EXXON MOBIL CORP,2258256.0,173712,135,"st this proposal.  PAY RATIO Annual total CEO compensation for 2019 was $23,529,292. The median of annual total compensation of all employees of the Corporation, except the CEO, for 2019 was$173,712. ","mpensation of all employees of the Corporation, except the CEO, for 2019 was$173,712. The ratio of annual total CEO compensation to the median of annual total compensation of all employees was 135:1. "
NVDA,1045810,NVIDIA CORP,1073664.0,178944,64,"l 2020 pay ratio calculation.Our median employee&#8217;s compensation for Fiscal 2020 was $178,944. ","oyee&#8217;s compensation for Fiscal 2020 was $178,944.  Our CEO&#8217;s compensation for Fiscal 2020 was $11,492,280.  Therefore, our Fiscal 2020 CEO to median employee&#160;pay ratio&#160;was 64:1.T"
WMT,104169,Walmart Inc.,2203432.0,22484,983,"CEO was $22,105,350, the fiscal 2020 annual total compensation of our median associate was $22,484, ","l total compensation of our median associate was $22,484, and the ratio of these amounts was 983:1. "
JPM,19617,JPMORGAN CHASE & CO,3136809.0,80431,393,"its  &nbsp;&#149;&nbsp; The annual total compensation of our estimated median employee was $80,431, "," The annual total compensation of our estimated median employee was $80,431, including Firm-paid employee benefits2 and change in pension value  &nbsp;&#149;&nbsp; This represents a ratio of 393 to 1 "
PG,80424,PROCTER & GAMBLE Co,2273139.0,68883,333,"of Regulation S-K and based upon our reasonable judgment and assumptions. For FY 2019-20, the median of the annual total compensation of all employees of the company (other than our CEO) was $68,883, ","ensation of our CEO was $22,905,128. Based on this information, the ratio of the annual total compensation of Mr.&nbsp;Taylor to the median of the annual total compensation of employees was 333 to 1.&"
